Judge ID,Race or Ethnicity,Gender,Court Type
3563,African American,Female,U.S. District Court
3419,White,Female,U.S. District Court
2989,White,Male,U.S. District Court
2927,White,Male,U.S. District Court
3174,White,Male,U.S. Court of Appeals
2750,White,Female,U.S. District Court
5198506,White,Male,U.S. District Court
26,White,Male,U.S. Court of Appeals
3373,African American,Female,U.S. District Court
3576,Hispanic,Male,U.S. District Court
6586021,African American,Male,U.S. District Court
6244926,Hispanic,Male,U.S. District Court
2997,Hispanic,Female,U.S. District Court
3080,Hispanic,Female,U.S. District Court
3173,White,Male,U.S. District Court
3402,White,Male,U.S. District Court
3190,Hispanic,Female,U.S. District Court
6385001,Hispanic,Male,U.S. District Court
3568,White,Female,U.S. District Court
2898,Hispanic,Female,U.S. District Court
5153446,White,Male,U.S. District Court
2949,African American,Male,U.S. District Court
4738061,White,Female,U.S. District Court
3161,White,Female,U.S. District Court
3577,White,Female,U.S. District Court
3459,White,Male,U.S. Court of Appeals
6202901,White,Female,U.S. Court of Appeals
3141,White,Male,U.S. District Court
3427,White,Female,U.S. District Court
5152936,White,Male,U.S. District Court
90,White,Male,U.S. District Court
6595046,White,Male,U.S. District Court
6379986,White,Male,U.S. District Court
6594531,White,Female,U.S. District Court
7465661,White,Male,U.S. District Court
3979311,White,Female,U.S. Court of Appeals
3110,White,Male,U.S. District Court
3540,White,Male,U.S. Court of Appeals
3524,White,Female,U.S. District Court
3525,White,Male,U.S. District Court
3102,White,Male,U.S. District Court
5153456,White,Female,U.S. District Court
5018781,White,Male,U.S. District Court
3569,African American/White,Female,U.S. District Court
6489616,White,Male,U.S. District Court
3411,White,Female,U.S. District Court
3066,Hispanic,Male,U.S. District Court
3588,African American,Male,U.S. District Court
4908101,White,Male,U.S. Court of Appeals
156,White,Male,U.S. District Court
3070,White,Male,U.S. Court of Appeals
3448,White,Male,U.S. District Court
3223,African American,Female,U.S. District Court
6801611,White,Female,U.S. District Court
3450,Hispanic,Male,U.S. District Court
3095,White,Male,U.S. District Court
3989731,White,Male,U.S. Court of Appeals
3578,African American,Female,U.S. District Court
3556,African American,Male,U.S. District Court
3396,Asian American/Hispanic,Female,U.S. District Court
3259,White,Male,U.S. District Court
2922,White,Male,U.S. District Court
186,White,Female,U.S. District Court
190,White,Female,U.S. District Court
3579,White,Male,U.S. District Court
3552,White,Female,U.S. District Court
3363,White,Male,U.S. District Court
3570,African American,Male,U.S. District Court
2884,White,Female,U.S. District Court
4444651,White,Female,U.S. District Court
3580,White,Male,U.S. District Court
6595551,White,Male,U.S. District Court
3546,African American,Male,U.S. District Court
2899,White,Female,U.S. District Court
3082,White,Male,U.S. District Court
3067,White,Female,U.S. District Court
3012,White,Male,U.S. District Court
6278456,White,Female,U.S. District Court
4237586,White,Female,U.S. Court of Appeals
3455,White,Male,U.S. District Court
5153461,White,Female,U.S. District Court
6383991,White,Male,U.S. District Court
3335,White,Male,U.S. District Court
2987,White,Male,U.S. District Court
4602991,White,Male,U.S. Court of Appeals
6729576,White,Male,U.S. Court of Appeals
3367,White,Male,U.S. District Court
3191,White,Male,U.S. District Court
5375096,White,Female,U.S. District Court
267,White,Male,U.S. District Court
3488,African American/Hispanic,Male,U.S. District Court
3413,African American,Female,U.S. District Court
3509,White,Male,U.S. District Court
4477666,White,Male,U.S. District Court
7049261,African American,Female,U.S. District Court
2840,White,Female,U.S. District Court
3495,African American,Female,U.S. District Court
7545476,White,Male,U.S. District Court
6840201,White,Male,U.S. District Court
4028216,White,Male,U.S. District Court
3387,African American,Female,U.S. District Court
3023,White,Male,U.S. District Court
3490,White,Male,U.S. District Court
3144,African American,Female,U.S. District Court
6801616,White,Male,U.S. District Court
7499211,Asian American,Male,U.S. Court of Appeals
3116,White,Female,U.S. District Court
2919,White,Male,U.S. District Court
3096,White,Male,U.S. District Court
5373561,White,Male,U.S. District Court
3033,White,Male,U.S. District Court
328,American Indian,Male,U.S. District Court
3581,White,Female,U.S. District Court
3114866,White,Male,U.S. Court of Appeals
2787,White,Male,U.S. District Court
2981,White,Male,U.S. Court of Appeals
3550,White,Male,U.S. District Court
6631566,White,Male,U.S. District Court
3386,White,Male,U.S. District Court
2894,White,Female,U.S. District Court
3002,Hispanic,Female,U.S. Court of Appeals
3011,White,Male,U.S. District Court
367,White,Male,U.S. District Court
4027846,White,Male,U.S. District Court
3487,White,Female,U.S. District Court
3018,Hispanic,Female,U.S. District Court
377,White,Male,U.S. Court of Appeals
378,White,Female,U.S. District Court
2994,White,Male,U.S. District Court
3375,White,Female,U.S. Court of Appeals
4625001,White,Male,U.S. Court of Appeals
3406,African American,Male,U.S. District Court
3340,African American,Female,U.S. District Court
2940,White,Male,U.S. District Court
3029,White,Male,U.S. District Court
398,Hispanic,Male,U.S. District Court
402,White,Female,U.S. District Court
3376,White,Female,U.S. District Court
2950,White,Male,U.S. District Court
3107,White,Male,U.S. Court of Appeals
2722,White,Male,U.S. District Court
3342,Asian American,Male,U.S. District Court
3475,White,Female,U.S. District Court
416,White,Male,U.S. District Court
3372,Asian American,Male,U.S. District Court
3460,Asian American,Female,U.S. District Court
3486,Asian American,Male,U.S. Court of Appeals
3003,White,Male,U.S. Court of Appeals
3510,Asian American,Male,U.S. District Court
3290,African American,Female,U.S. District Court
421,Asian American,Male,U.S. District Court
3409,White,Female,U.S. Court of Appeals
3408,White,Male,U.S. District Court
3528,Asian American,Male,U.S. District Court
3543,African American,Female,U.S. District Court
2960,White,Male,U.S. District Court
6489106,White,Male,U.S. District Court
2942,White,Male,U.S. Court of Appeals
3111,White,Male,U.S. District Court
3362,White,Male,U.S. District Court
4020796,White,Male,U.S. District Court
3564,White,Male,U.S. District Court
7465651,White,Male,U.S. District Court
473,African American,Male,U.S. Court of Appeals
3288,African American,Female,U.S. District Court
6480596,White,Male,U.S. Court of Appeals
2781,African American,Male,U.S. District Court
3024,White,Male,U.S. Court of Appeals
7545466,White,Male,U.S. District Court
3232,White,Male,U.S. District Court
2943,White,Male,U.S. District Court
5018791,White,Male,U.S. District Court
3085,White,Male,U.S. District Court
3420,Hispanic,Male,U.S. District Court
500,White,Female,U.S. District Court
3008,White,Male,U.S. District Court
2998,White,Female,U.S. Court of Appeals
3053,African American,Female,U.S. District Court
3516,African American,Male,U.S. District Court
6770606,White,Male,U.S. District Court
2952,White,Male,U.S. District Court
3425,White,Male,U.S. District Court
4028221,White,Male,U.S. District Court
3077,Hispanic,Female,U.S. District Court
3117,White,Male,U.S. District Court
3522,White,Male,U.S. District Court
2926,Hispanic,Male,U.S. District Court
3553,White,Male,U.S. District Court
3603,African American,Male,U.S. District Court
3037,White,Female,U.S. District Court
3443,Hispanic,Male,U.S. District Court
3365,White,Female,U.S. District Court
3369,White,Male,U.S. District Court
2854,African American,Male,U.S. District Court
3381,White,Female,U.S. District Court
3356,Hispanic,Male,U.S. District Court
3502,African American,Male,U.S. District Court
2929,African American,Male,U.S. District Court
3175,White,Male,U.S. District Court
7545481,African American,Female,U.S. District Court
3155,White,Male,U.S. District Court
3260,White,Male,U.S. District Court
3507,Hispanic,Male,U.S. District Court
3103,Hispanic,Female,U.S. District Court
3013,White,Male,U.S. District Court
3086,White,Male,U.S. District Court
3064,White,Male,U.S. District Court
3341,Hispanic,Male,U.S. Court of Appeals
3472,White,Female,U.S. District Court
3582,White,Female,U.S. District Court
2768,White,Male,U.S. District Court
7544441,White,Female,U.S. District Court
628,White,Female,U.S. District Court
6273446,White,Male,U.S. District Court
631,African American,Female,U.S. District Court
3505,White,Male,U.S. District Court
3595,White,Female,U.S. District Court
5197981,White,Female,U.S. District Court
3485,White,Female,U.S. District Court
4273111,White,Male,U.S. District Court
3164,White,Male,U.S. District Court
3449,White,Male,U.S. District Court
2725,White,Male,U.S. District Court
3594,White,Male,U.S. District Court
3421,Asian American,Female,U.S. District Court
3097,White,Female,U.S. District Court
3062,White,Male,U.S. District Court
3015,African American,Female,U.S. Court of Appeals
4517676,White,Male,U.S. Court of Appeals
3453,White,Male,U.S. District Court
2896,White,Female,U.S. District Court
3336,White,Female,U.S. District Court
3601,White,Female,U.S. District Court
3989726,White,Female,U.S. Court of Appeals
3491,African American,Female,U.S. District Court
2822,White,Male,U.S. District Court
3159,White,Female,U.S. Court of Appeals
2903,White,Male,U.S. District Court
3380,White,Male,U.S. District Court
2944,African American,Male,U.S. District Court
2933,White,Female,U.S. District Court
2983,White,Male,U.S. District Court
7223866,White,Male,U.S. District Court
3461,White,Female,U.S. District Court
3287,White,Male,U.S. District Court
3042,White,Male,U.S. District Court
3049,White,Male,U.S. District Court
3045,White,Female,U.S. District Court
3136,White,Female,U.S. District Court
3417,White,Male,U.S. District Court
765,White,Male,U.S. District Court
3016,White,Female,U.S. District Court
3280,White,Female,U.S. District Court
3281,White,Female,U.S. District Court
3395,White,Female,U.S. District Court
3438,African American,Male,U.S. District Court
2793,White,Male,U.S. District Court
796,White,Male,U.S. District Court
3506,White,Female,U.S. District Court
3254,White,Female,U.S. District Court
3521,White,Female,U.S. Court of Appeals
4022586,White,Female,U.S. District Court
3134,White,Male,U.S. District Court
2975,White,Male,U.S. District Court
3412,White,Male,U.S. District Court
7544446,White,Male,U.S. District Court
7049781,White,Female,U.S. District Court
818,Hispanic,Male,U.S. District Court
3389,Hispanic,Female,U.S. District Court
3183,White,Male,U.S. District Court
820,White,Male,U.S. Court of Appeals
829,White,Female,U.S. District Court
3549,African American,Male,U.S. District Court
3228,Asian American,Female,U.S. District Court
3124,Hispanic,Male,U.S. District Court
3452,White,Male,U.S. District Court
3292,White,Male,U.S. District Court
3410,White,Male,U.S. District Court
845,White,Female,U.S. District Court
3338,White,Male,U.S. District Court
3583,African American,Male,U.S. District Court
863,African American,Female,U.S. District Court
3407,White,Male,U.S. District Court
3403,White,Female,U.S. District Court
867,White,Male,U.S. District Court
2945,White,Male,U.S. District Court
3193,White,Male,U.S. District Court
3284,White,Male,U.S. District Court
3483,Hispanic,Male,U.S. District Court
5153441,White,Male,U.S. District Court
3463,White,Male,U.S. District Court
3125,White,Male,U.S. Court of Appeals
2916,White,Female,U.S. District Court
5014276,White,Female,U.S. Court of Appeals
4025236,White,Male,U.S. Court of Appeals
3355,African American,Male,U.S. Court of Appeals
911,African American,Male,U.S. District Court
3004,White,Male,U.S. District Court
2888,African American,Male,U.S. Court of Appeals
2930,White,Male,U.S. District Court
3089,White,Male,U.S. Court of Appeals
3090,White,Male,U.S. Court of Appeals
7049561,Hispanic,Male,U.S. District Court
3445,White,Male,U.S. District Court
3416,White,Female,U.S. District Court
3054,White,Male,U.S. Court of Appeals
3426,Hispanic,Male,U.S. District Court
6631571,White,Male,U.S. District Court
3122,White,Male,U.S. District Court
3051,Hispanic,Male,U.S. District Court
3132,Hispanic,Male,U.S. District Court
2730,White,Male,U.S. District Court
941,White,Male,U.S. District Court
3493,White,Female,U.S. District Court
7049256,White,Female,U.S. District Court
3571,White,Male,U.S. District Court
3171,White,Male,U.S. District Court
3597,African American,Female,U.S. District Court
957,White,Male,U.S. District Court
2863,African American,Female,U.S. District Court
2931,White,Male,U.S. District Court
3589,African American,Male,U.S. District Court
5375106,White,Male,U.S. District Court
3044,White,Male,U.S. District Court
3517,White,Male,U.S. District Court
3559,White,Female,U.S. Court of Appeals
3072,White,Male,U.S. District Court
3039,White,Male,U.S. District Court
3169,White,Female,U.S. Court of Appeals
3529,African American,Male,U.S. District Court
2905,White,Male,U.S. District Court
3433,White,Male,U.S. District Court
3542,White,Female,U.S. District Court
6831671,White,Male,U.S. District Court
1028,White,Male,U.S. Court of Appeals
3352,Hispanic,Male,U.S. District Court
2795,White,Male,U.S. District Court
3058,Hispanic,Female,U.S. District Court
3394,White,Female,U.S. District Court
2999,White,Male,U.S. District Court
3400,White,Male,U.S. Court of Appeals
3118,White,Male,U.S. District Court
1053,White,Male,U.S. District Court
1054,Hispanic,Male,U.S. District Court
4025386,Asian American,Male,U.S. Court of Appeals
2842,White,Female,U.S. District Court
3128,African American,Male,U.S. Court of Appeals
3076,White,Male,U.S. District Court
3353,White,Male,U.S. District Court
1083,White,Male,U.S. District Court
3224,African American,Female,U.S. District Court
1087,African American,Female,U.S. District Court
3059,White,Female,U.S. District Court
5197971,White,Female,U.S. District Court
3398,White,Male,U.S. District Court
3040,African American,Male,U.S. District Court
2966,White,Male,U.S. District Court
2932,White,Male,U.S. Court of Appeals
3138,Hispanic,Female,U.S. District Court
3349,White,Female,U.S. District Court
1110,White,Female,U.S. District Court
7465656,White,Male,U.S. District Court
3489,White,Male,U.S. Court of Appeals
3536,American Indian,Female,U.S. District Court
7328941,White,Female,U.S. Court of Appeals
3121,White,Female,U.S. Court of Appeals
6839681,White,Female,U.S. District Court
3075,Hispanic,Female,U.S. District Court
3364,White,Female,U.S. District Court
3283,African American,Male,U.S. District Court
1155,African American,Female,U.S. District Court
3464,African American,Female,U.S. District Court
3139,White,Male,U.S. District Court
2734,African American,Male,U.S. District Court
4477671,White,Female,U.S. District Court
2910,White,Male,U.S. District Court
3104,White,Male,U.S. District Court
7544951,African American,Male,U.S. District Court
2946,White,Male,U.S. District Court
3160,African American,Male,U.S. District Court
3358,African American,Male,U.S. District Court
3152,White,Male,U.S. District Court
2831,Hispanic,Male,U.S. District Court
3126,White,Male,U.S. District Court
2974,White,Male,U.S. District Court
6834676,White,Male,U.S. District Court
2923,White,Female,U.S. District Court
5373566,White,Male,U.S. District Court
5197976,White,Male,U.S. District Court
6631056,White,Male,U.S. District Court
3289,White,Female,Supreme Court
3225,African American,Male,U.S. District Court
2796,White,Female,U.S. District Court
3146,White,Male,U.S. District Court
3057,White,Male,U.S. District Court
4022736,White,Male,U.S. Court of Appeals
2828,White,Male,U.S. Court of Appeals
3114,White,Male,U.S. Court of Appeals
3458,White,Male,U.S. Court of Appeals
3176,White,Male,U.S. District Court
3572,White,Male,U.S. District Court
3231,White,Female,U.S. Court of Appeals
3069,White,Male,U.S. District Court
3471,White,Female,U.S. Court of Appeals
3687506,White,Male,U.S. District Court
3098,White,Female,U.S. District Court
1254,White,Male,U.S. District Court
2821,White,Male,U.S. District Court
5375101,White,Male,U.S. District Court
5374586,White,Male,U.S. District Court
3593,White,Female,U.S. District Court
3179,White,Male,U.S. Court of Appeals
1280,Asian American,Male,U.S. District Court
2971,White,Male,U.S. District Court
5374581,White,Male,U.S. District Court
3344,Asian American,Female,U.S. District Court
5675191,White,Male,U.S. Court of Appeals
